"Gene","logFC","AveExpr","P.Value","adj.P.Val"
"HISPPD2A",-0.24,7.208,0.117,0.459
"SLC24A2",-0.436,3.249,0.117,0.459
"DNHD1",-0.391,8.332,0.117,0.459
"RGS16",-0.409,7.156,0.117,0.459
"CKAP2",0.228,9.763,0.118,0.459
"LOC146429",0.755,3.705,0.118,0.459
"LQK1",-0.87,8.028,0.118,0.46
"DBR1",0.271,7.988,0.118,0.46
"JAK2",0.336,9.983,0.118,0.46
"SFMBT1",-0.222,9.018,0.118,0.46
"PAX2",0.225,3.213,0.118,0.46
"TEX13B",-0.359,4.635,0.118,0.46
"P2RY4",0.311,5.898,0.118,0.46
"CNOT4",0.229,9.442,0.118,0.46
"CD3D",-0.312,12.581,0.118,0.46
"ESR2",-0.994,3.822,0.118,0.46
"CYB5R3",0.36,16.422,0.118,0.461
"C1orf128",-0.201,8.616,0.118,0.461
"LOC641784",-0.196,15.009,0.118,0.461
"USP33",-0.168,11.18,0.118,0.461
"CAMK2G",0.183,11.061,0.118,0.461
"SPATA3",0.198,3.1,0.118,0.461
"BAT5",-0.196,9.666,0.119,0.461
"LOC100133130",-0.488,3.894,0.119,0.461
"TOR3A",0.172,13.398,0.119,0.462
"CHD1",0.19,9.727,0.119,0.462
"VPS36",0.127,9.755,0.119,0.462
"AP1S1",0.385,7.601,0.119,0.462
"TRIP11",0.209,11.044,0.119,0.462
"ADSS",0.142,11.538,0.119,0.462
"C1orf25",0.387,8.153,0.119,0.462
"CLECL1",-0.724,8.062,0.119,0.462
"C20orf197",-0.479,4.731,0.119,0.462
"SUCLG1",0.194,10.905,0.119,0.462
"TAF1L",-0.201,7.634,0.119,0.462
"PDE6B",-0.183,9.364,0.119,0.462
"AKT3",0.296,8.666,0.119,0.462
"SIRT4",0.416,5.683,0.119,0.462
"GPR97",-0.517,5.039,0.119,0.462
"TNFRSF1A",0.307,11.335,0.119,0.462
"MSRA",0.166,11.96,0.119,0.463
"HES7",0.152,17.29,0.119,0.463
"ABCC1",-0.21,7.513,0.119,0.463
"ZAN",0.246,4.971,0.119,0.463
"TFDP3",0.501,3.523,0.12,0.463
"MIRHG1",-0.344,7.819,0.12,0.463
"LOC100133781",-0.38,8.669,0.12,0.463
"LOC100132319",-0.761,3.536,0.12,0.463
"FAM167B",0.259,6.03,0.12,0.463
"FLJ32214",0.571,7.215,0.12,0.463
"SLC25A11",-0.131,10.957,0.12,0.463
"FAM132A",-0.405,5.879,0.12,0.463
"ELFN1",0.563,12.919,0.12,0.463
"ELF3",-0.549,4.917,0.12,0.464
"CREM",-0.25,9.772,0.12,0.464
"GZMK",-0.463,12.776,0.12,0.464
"STX12",0.184,11.198,0.12,0.464
"GFOD2",0.247,9.899,0.12,0.464
"BARHL2",0.387,3.353,0.12,0.464
"MKRN2",0.249,9.133,0.12,0.464
"RAP1A",0.249,13.22,0.12,0.465
"PRND",0.47,3.412,0.12,0.465
"LYAR",-0.267,11.382,0.121,0.465
"SLC2A13",-0.206,6.86,0.121,0.465
"SLC22A23",0.769,8.564,0.121,0.466
"POLE3",-0.13,11.908,0.121,0.466
"FADS1",0.307,10.142,0.121,0.466
"NHEDC2",0.956,6.191,0.121,0.466
"OR52K3P",0.417,8.098,0.121,0.466
"GPR68",0.483,10.95,0.121,0.466
"TSSK6",-0.318,3.775,0.121,0.466
"PRKACG",0.273,3.677,0.121,0.466
"BCL7A",-0.513,7.908,0.121,0.466
"DPCR1",0.955,3.778,0.121,0.466
"SPTLC1",0.129,10.675,0.121,0.466
"MAN2C1",-0.288,11.577,0.121,0.466
"SEDLP",0.307,9.588,0.121,0.466
"RBP7",0.319,11.616,0.122,0.467
"KCNA5",0.707,4.165,0.122,0.467
"BID",0.155,13.852,0.122,0.467
"DEPDC7",0.566,5.088,0.122,0.468
"HPSE",0.454,9.162,0.122,0.468
"CLCNKA",0.713,4.144,0.122,0.468
"PRDM7",-0.533,3.702,0.122,0.468
"C7orf60",-0.152,9.021,0.122,0.468
"LILRB2",0.276,14.689,0.122,0.468
"C6orf211",0.208,10.67,0.122,0.468
"NPAS3",0.426,15.746,0.122,0.468
"UNC119",-0.206,10.618,0.122,0.468
"PRPSAP1",-0.131,11.222,0.122,0.468
"DGCR14",-0.134,9.786,0.122,0.468
"FLJ11151",0.215,11.733,0.122,0.468
"MDM2",-0.202,6.784,0.122,0.468
"MRPL35",0.228,10.834,0.122,0.468
"FKBP15",0.191,12.707,0.122,0.469
"ZNF660",0.344,3.275,0.122,0.469
"DDX46",-0.135,9.973,0.122,0.469
"PTPLAD1",-0.169,10.652,0.122,0.469
"INTS12",-0.101,9.684,0.123,0.469
"FLJ30851",-0.371,6.165,0.123,0.469
"LOC344593",0.99,6.888,0.123,0.469
"FKBP8",-0.216,8.14,0.123,0.469
"COX4I1",0.123,15.623,0.123,0.469
"GPR37",-0.62,4.048,0.123,0.47
"SLIT3",0.324,6.179,0.123,0.47
"FRAT1",0.317,7.457,0.123,0.47
"MORN5",0.648,3.427,0.123,0.47
"LOC391777",-0.224,14.495,0.123,0.47
"CGB",0.487,3.857,0.123,0.47
"OSBPL8",0.344,11.213,0.123,0.47
"ZC3H3",-0.255,6.628,0.123,0.47
"COX7A2",-0.122,14.506,0.123,0.47
"FLJ25694",0.277,7.573,0.123,0.47
"GALNT4",0.434,5.483,0.123,0.47
"NUDT16L1",-0.149,12.505,0.123,0.47
"L3MBTL3",-0.251,10.966,0.123,0.471
"CCT8",0.132,12.955,0.124,0.471
"CDKL2",-0.318,3.214,0.124,0.471
"FABP6",-0.62,3.544,0.124,0.471
"C10orf27",0.299,4.732,0.124,0.471
"MARVELD2",-0.753,6.624,0.124,0.471
"GGTA1",0.551,12.382,0.124,0.471
"KIAA1529",0.308,8.702,0.124,0.471
"LRRFIP2",0.171,9.682,0.124,0.471
"RECK",0.209,10.503,0.124,0.471
"SMAD4",0.261,7.392,0.124,0.471
"TMEM149",0.45,14.081,0.124,0.471
"GIPC3",-0.78,3.769,0.124,0.471
"LOC643401",-0.218,3.29,0.124,0.471
"LOC100130211",1.207,7.949,0.124,0.471
"TGFBR1",-0.358,5.324,0.124,0.471
"RTN3",0.398,16.155,0.124,0.471
"NINJ2",-0.224,9.792,0.124,0.472
"RYBP",0.277,12.79,0.124,0.472
"RCC2",0.133,12.557,0.124,0.472
"PNPO",0.355,4.993,0.124,0.472
"MGC70870",0.379,8.949,0.124,0.472
"CPOX",0.275,8.251,0.124,0.472
"LONRF3",0.25,7.229,0.124,0.472
"COPS7A",0.175,9.461,0.125,0.472
"DNAJC24",-0.212,7.61,0.125,0.472
"LIPT1",0.177,8.292,0.125,0.472
"KCNAB2",-0.207,11.221,0.125,0.472
"KCTD10",0.244,10.551,0.125,0.472
"DDX55",0.12,8.478,0.125,0.472
"AKT1S1",-0.264,7.177,0.125,0.472
"VTN",-0.251,4.72,0.125,0.472
"CSNK1A1L",0.686,7.841,0.125,0.472
"WRNIP1",0.183,10.292,0.125,0.472
"ZBTB7A",-0.169,11.72,0.125,0.472
"KPTN",-0.327,8.388,0.125,0.472
"LOC441768",0.281,11.684,0.125,0.472
"MAST4",-0.358,10.183,0.125,0.472
"DEF8",-0.246,11.629,0.125,0.472
"USP31",-0.292,7.993,0.125,0.472
"C21orf34",0.325,4.099,0.125,0.472
"ADAM17",0.173,11.234,0.125,0.472
"KCNN1",0.482,3.512,0.125,0.472
"FYCO1",0.215,9.321,0.125,0.472
"LOC441245",1.022,10.13,0.125,0.473
"CXorf58",-0.196,3.264,0.125,0.473
"HERC2P4",-0.634,4.213,0.125,0.473
"RNASEH1",-0.163,9.041,0.125,0.473
"UNC45B",-0.465,5.725,0.126,0.473
"CCNA1",-0.392,3.151,0.126,0.473
"SARS2",-0.246,9.138,0.126,0.474
"LOC220429",0.781,4.416,0.126,0.474
"CCDC61",-0.281,9.064,0.126,0.474
"LOC100128821",0.36,9.382,0.126,0.474
"ALS2CR8",-0.323,6.21,0.126,0.474
"TNS3",0.235,9.385,0.126,0.474
"KIAA1310",0.176,14.276,0.126,0.474
"NKX1-2",0.56,11.149,0.126,0.474
"MS4A3",-1.176,5.642,0.126,0.474
"WWC2",0.272,7.173,0.126,0.474
"PTPRE",0.22,13.653,0.126,0.474
"C17orf51",0.233,8.196,0.126,0.474
"DOCK7",0.261,7.187,0.126,0.474
"MBTPS1",-0.119,11.288,0.126,0.474
"TRAPPC3",0.22,10.964,0.126,0.474
"KIAA0841",-0.264,5.876,0.126,0.474
"ZNF592",0.173,12.453,0.126,0.474
"N4BP1",-0.263,8.992,0.126,0.474
"KIAA1656",0.867,4.775,0.126,0.474
"DOK1",0.231,13.549,0.126,0.474
"CDK4",-0.11,10.399,0.126,0.474
"CSH1",0.219,6.84,0.126,0.474
"ATP7A",0.253,6.909,0.127,0.475
"BEST1",0.358,8.002,0.127,0.475
"CYP4F2",0.77,11.521,0.127,0.475
"LOC439914",0.422,5.689,0.127,0.475
"ACYP1",-0.207,10.951,0.127,0.475
"C9orf24",0.378,6.883,0.127,0.475
"C7orf11",0.153,11.873,0.127,0.475
"EFNB3",-0.426,8.881,0.127,0.475
"TWF1",-0.196,10.628,0.127,0.476
"TIGD3",0.416,7.843,0.127,0.476
"GEMIN7",-0.14,9.85,0.127,0.476
"MED10",-0.17,13.228,0.127,0.476
"NUDT2",-0.249,10.302,0.127,0.476
"LOC100131323",0.884,11.929,0.127,0.476
"FAM163A",-0.123,3.146,0.127,0.476
"DNPEP",-0.238,11.721,0.127,0.476
"TAZ",-0.167,10.617,0.127,0.476
"POF1B",-0.696,3.813,0.127,0.476
"GMCL1L",-0.207,3.279,0.128,0.476
"BTBD1",0.159,12.018,0.128,0.476
"MTERFD1",0.239,9.911,0.128,0.476
"DPP7",-0.214,13.132,0.128,0.476
"GUK1",-0.115,15.153,0.128,0.476
"NACA2",0.134,15.453,0.128,0.476
"LOC728153",0.449,5.464,0.128,0.477
"C9orf45",-0.576,4.145,0.128,0.477
"KIAA1967",-0.252,8.884,0.128,0.477
"MGC11082",-0.436,3.507,0.128,0.477
"C1orf67",-0.818,3.896,0.128,0.477
"DHRS13",-0.199,9.949,0.128,0.477
"tcag7.1196",-0.294,8.804,0.128,0.477
"SGTA",-0.199,12.52,0.128,0.477
"PNOC",-0.403,9.745,0.128,0.477
"C7orf28B",0.152,13.469,0.128,0.477
"BAG4",-0.362,6.437,0.128,0.477
"SMARCC2",0.334,16.652,0.128,0.477
"NPW",0.342,3.592,0.128,0.477
"TMEM117",-0.237,6.388,0.128,0.477
"DYNC1LI1",0.191,9.442,0.128,0.477
"LOC116236",-0.213,8.7,0.128,0.477
"NFIL3",-0.506,12.199,0.128,0.477
"ELAC2",0.111,13.881,0.128,0.478
"C1orf212",0.127,12.772,0.129,0.478
"LOC729768",0.162,10.118,0.129,0.478
"PCSK7",-0.17,11.31,0.129,0.478
"ARFIP1",0.225,11.609,0.129,0.478
"RTN4",0.169,11.736,0.129,0.478
"SPATA5",-0.336,4.53,0.129,0.478
"TRAK1",-0.14,10.091,0.129,0.478
"FOXJ1",0.397,5.625,0.129,0.478
"FAM102B",0.164,10.215,0.129,0.478
"STAM2",0.23,7.505,0.129,0.478
"SERTAD1",0.159,12.406,0.129,0.478
"LOC729983",0.829,8.226,0.129,0.478
"PNKD",-0.154,12.992,0.129,0.478
"C17orf72",-0.398,7.02,0.129,0.478
"LOC730102",0.255,8.671,0.129,0.478
"PTGDS",0.532,12.918,0.129,0.478
"POP7",0.139,13.38,0.129,0.478
"DRAM",0.284,10.727,0.129,0.478
"ABL2",-0.182,8.057,0.129,0.478
"KIF7",0.706,3.787,0.129,0.478
"VPS4A",-0.154,11.783,0.129,0.478
"GSTM4",0.389,7.503,0.129,0.478
"COMMD5",0.149,11.953,0.129,0.478
"RAMP3",-1.013,4.425,0.129,0.478
"P2RY14",0.554,8.856,0.129,0.478
"CUEDC2",-0.189,11.018,0.129,0.478
"DKFZp761E198",0.728,8.941,0.129,0.478
"SH3BP5L",0.331,11.657,0.13,0.478
"UACA",0.47,5.473,0.13,0.478
"FAM149A",0.468,3.761,0.13,0.478
"KIAA0947",0.202,9.226,0.13,0.478
"TEP1",0.189,10.716,0.13,0.478
"GPX4",-0.182,12.74,0.13,0.479
"C11orf63",-0.451,6.241,0.13,0.479
"SERPINA3",-0.335,6.058,0.13,0.479
"UBE2G2",-0.152,11.335,0.13,0.479
"SLC6A10P",-0.731,4.916,0.13,0.479
"RHBDD1",0.206,9.616,0.13,0.48
"CTBS",0.203,10.47,0.13,0.48
"TPPP3",0.527,9.384,0.13,0.48
"ID2",-0.362,13.192,0.13,0.48
"PLCD3",0.238,3.435,0.13,0.48
"CAPRIN2",-0.211,9.349,0.13,0.48
"PDZD8",-0.347,8.123,0.13,0.48
"LOC440396",0.915,8.58,0.13,0.48
"PODXL",-0.31,7.196,0.13,0.48
"ARIH2",-0.158,13.156,0.13,0.48
"SIGLEC10",-0.279,10.847,0.13,0.48
"HDAC5",-0.23,12.11,0.13,0.48
"IL27",1.018,12.051,0.131,0.48
"TMLHE",0.166,9.834,0.131,0.48
"ETV3",-0.356,7.056,0.131,0.48
"ANKRD26",0.196,6.936,0.131,0.48
"DCUN1D1",0.175,9.45,0.131,0.48
"EBF1",-0.582,7.848,0.131,0.48
"SOD2",-0.315,13.319,0.131,0.48
"CACNA2D3",0.342,10.767,0.131,0.481
"CLDN6",0.489,3.553,0.131,0.481
"CAMK1",-0.23,9.421,0.131,0.481
"LOC257039",0.749,10.785,0.131,0.481
"WDR25",-0.173,9.472,0.131,0.481
"TBC1D23",0.188,9.881,0.131,0.481
"SPOCK2",-0.272,14.337,0.131,0.481
"AP3S2",0.16,11.443,0.131,0.482
"GFPT1",-0.22,7.43,0.131,0.482
"TTC12",-0.369,9.097,0.132,0.482
"ESRRB",0.47,3.68,0.132,0.482
"PPFIA1",0.123,10.673,0.132,0.482
"WDR7",0.183,10.729,0.132,0.482
"BTN2A1",0.669,7.878,0.132,0.482
"NACAP1",0.964,11.064,0.132,0.482
"C17orf42",0.219,9.632,0.132,0.482
"TRIM5",0.327,7.395,0.132,0.482
"ZNF682",-0.309,5.792,0.132,0.482
"MINPP1",0.367,6.434,0.132,0.482
"PPP2CA",0.169,11.746,0.132,0.482
"PLEKHH3",0.32,6.667,0.132,0.482
"HOXA3",0.142,18.207,0.132,0.482
"C20orf103",0.539,9.943,0.132,0.482
"TROAP",-0.253,6.959,0.132,0.482
"NPBWR1",0.876,9.361,0.132,0.482
"C18orf24",-0.521,3.517,0.132,0.482
"ADAMTS5",0.574,8.4,0.132,0.483
"CCDC120",-0.186,8.389,0.132,0.483
"ARL2BP",0.155,12.348,0.132,0.483
"HIST3H3",0.16,16.344,0.132,0.483
"GCSH",-0.126,9.689,0.132,0.483
"IFRD1",-0.262,10.182,0.132,0.483
"DEPDC6",0.352,6.428,0.132,0.483
"LOC220433",-0.189,15.559,0.132,0.483
"FLJ35379",0.303,3.247,0.132,0.483
"MFRP",0.245,7.997,0.132,0.483
"SLC2A4RG",-0.226,13.852,0.132,0.483
"BAAT",1.079,3.775,0.133,0.483
"NEK4",0.207,9.47,0.133,0.483
"MED18",0.501,3.446,0.133,0.483
"TOMM20",-0.163,13.006,0.133,0.483
"ANKRD32",0.227,8.562,0.133,0.483
"COL6A3",0.255,7.699,0.133,0.483
"VMAC",-0.186,6.991,0.133,0.484
"MYO15A",-0.564,3.733,0.133,0.484
"KRT3",0.271,7.916,0.133,0.484
"PMS1",-0.173,9.192,0.133,0.484
"UBXN11",-0.225,9.27,0.133,0.484
"GPR61",-0.305,3.194,0.133,0.484
"TTLL3",-0.191,10.598,0.133,0.484
"CYLD",-0.182,11.159,0.133,0.484
"PPID",0.176,11.102,0.133,0.484
"HSPA4",-0.146,13.647,0.133,0.484
"hCG_2045899",-0.32,6.96,0.134,0.484
"LOC79999",0.723,6.372,0.134,0.484
"NDUFC1",0.121,13.538,0.134,0.484
"LY9",-0.254,9.408,0.134,0.484
"PIK3IP1",-0.336,12.876,0.134,0.484
"EPS8",0.485,8.743,0.134,0.484
"ATP1A3",-0.198,10.517,0.134,0.484
"LCN6",-0.212,3.338,0.134,0.484
"CSF1",-0.301,4.485,0.134,0.484
"SIRT1",0.242,9.609,0.134,0.484
"LRRC47",-0.128,11.37,0.134,0.484
"USP42",0.153,11.642,0.134,0.484
"CCNJ",0.225,8.235,0.134,0.484
"FLAD1",0.148,9.639,0.134,0.484
"IL2",-0.246,3.257,0.134,0.484
"OAZ2",0.218,12.573,0.134,0.484
"OAS1",0.508,11.285,0.134,0.484
"NOTCH2",0.168,13.586,0.134,0.484
"AGBL3",0.435,8.277,0.134,0.485
"GABPB1",-0.217,8.369,0.134,0.485
"C8ORFK29",-0.578,5.466,0.134,0.485
"LOC731724",0.427,5.482,0.134,0.485
"ASCL5",0.417,7.542,0.134,0.485
"NLRX1",0.195,11.87,0.134,0.485
"C8orf84",0.235,3.18,0.134,0.485
"TXNDC9",0.156,11.562,0.134,0.485
"CSMD1",-0.657,3.476,0.134,0.485
"LSR",-0.394,8.901,0.134,0.485
"CEL",0.559,3.955,0.134,0.485
"CRHR1",0.299,9.191,0.134,0.485
"PDZRN3",0.398,3.37,0.135,0.485
"DPP3",-0.166,11.061,0.135,0.485
"TMEM39A",0.22,8.346,0.135,0.485
"hCG_1643808",0.494,6.09,0.135,0.485
"ELL2",-0.253,10.127,0.135,0.485
"LOC492311",0.425,7.592,0.135,0.485
"C1orf174",0.129,12.44,0.135,0.485
"EPS8L3",0.551,3.346,0.135,0.485
"hCG_1783494",0.302,6.024,0.135,0.486
"SLITRK5",-0.329,3.225,0.135,0.486
"TP53I3",0.289,9.53,0.135,0.486
"C16orf11",0.666,9.548,0.135,0.486
"TMEM131",0.109,9.778,0.135,0.487
"TSFM",0.108,12.219,0.135,0.487
"RIT1",0.186,11.231,0.135,0.487
"PPOX",-0.257,11.208,0.135,0.487
"C18orf21",0.117,11.137,0.135,0.487
"LOC100132218",-0.37,6.206,0.136,0.487
"PCSK1N",0.653,12.83,0.136,0.487
"ESD",0.175,10.781,0.136,0.487
"LOC220906",0.169,11.555,0.136,0.487
"EMCN",0.758,3.471,0.136,0.487
"ATP2C1",0.154,10.985,0.136,0.487
"ATXN7L2",-0.133,9.011,0.136,0.487
"ADCK5",-0.277,10.361,0.136,0.487
"PTPN18",0.247,12.668,0.136,0.487
"CTBP2",0.196,13.906,0.136,0.487
"PRIMA1",0.291,7.318,0.136,0.487
"KCNK3",0.477,4.352,0.136,0.487
"MRPL27",0.161,11.397,0.136,0.487
"FAU",-0.108,17.103,0.136,0.488
"DYNLRB2",-0.456,3.751,0.136,0.488
"MBNL2",0.166,10.995,0.136,0.488
"NEB",-0.551,5.8,0.136,0.488
"LSM14B",0.26,10.26,0.136,0.488
"C1orf89",0.296,5.505,0.136,0.488
"DDRGK1",-0.127,11.974,0.136,0.488
"LOC100130958",0.578,15.837,0.136,0.488
"NRAP",0.594,3.515,0.136,0.488
"FLJ43663",-0.3,9.136,0.137,0.488
"ARAP3",0.206,10.211,0.137,0.488
"CYP2W1",0.366,6.173,0.137,0.488
"SLC25A44",0.192,10.852,0.137,0.488
"LOC390705",-0.333,10.606,0.137,0.489
"DZIP3",-0.277,9.4,0.137,0.489
"PLK2",-0.625,7.963,0.137,0.489
"PGM2L1",-0.265,8.937,0.137,0.489
"HMGB3",0.255,7.966,0.137,0.489
"LOC653314",-0.107,17.083,0.137,0.489
"ALOX15",0.345,3.655,0.137,0.489
"LOC728154",0.333,6.202,0.137,0.489
"SLC15A2",-0.968,4.42,0.137,0.489
"SLITRK6",0.792,3.442,0.137,0.489
"JTB",-0.104,14.077,0.137,0.489
"F13B",0.242,3.171,0.137,0.489
"APLF",-0.307,6.954,0.137,0.49
"HN1",0.169,14.901,0.137,0.49
"C14orf94",0.187,9.233,0.137,0.49
"FAM171B",0.543,4.144,0.137,0.49
"PLP2",-0.297,11.654,0.138,0.49
"TTTY14",0.371,8.798,0.138,0.49
"ANKRD13A",-0.133,11.269,0.138,0.49
"LOC388796",0.285,11.034,0.138,0.49
"SLC46A3",-0.174,6.959,0.138,0.49
"LOC442211",-0.166,10.694,0.138,0.49
"MYO18B",-0.603,3.547,0.138,0.49
"SLC16A1",0.161,9.102,0.138,0.49
"FOLR4",-0.598,3.308,0.138,0.49
"DLG3",-0.249,9.596,0.138,0.49
"SPRR3",0.517,5.304,0.138,0.49
"PJA2",-0.139,10.679,0.138,0.49
"LOC100132761",0.203,7.297,0.138,0.49
"BPNT1",-0.215,8.241,0.138,0.49
"C1orf31",0.242,11.261,0.138,0.49
"DACH1",0.444,6.456,0.138,0.49
"MKNK2",0.157,15.608,0.138,0.49
"LTBP4",-0.272,10.173,0.138,0.49
"LOC100128626",-0.983,5.94,0.138,0.49
"OR4D2",0.25,8.152,0.138,0.49
"PER1",-0.7,11.92,0.138,0.49
"PCDHB13",0.204,7.114,0.138,0.49
"MIOX",-0.349,4.365,0.138,0.49
"NRD1",-0.136,12.104,0.138,0.49
"LOC647157",-0.599,3.618,0.138,0.49
"C13orf16",-0.378,4.857,0.138,0.49
"DIP2B",0.166,9.558,0.138,0.49
"ITGB2",0.272,15.503,0.138,0.49
"KCNMB3",-0.325,5.371,0.138,0.49
"NFIC",0.265,5.696,0.138,0.49
"DIS3L2",-0.165,8.449,0.139,0.491
"CKAP4",0.418,10.917,0.139,0.491
"GCK",0.332,5.193,0.139,0.491
"LOC389895",-0.149,3.105,0.139,0.491
"BTRC",0.228,8.219,0.139,0.491
"CBX3",0.116,14.46,0.139,0.491
"C6orf114",-0.603,4.773,0.139,0.491
"TRMT6",0.186,9.691,0.139,0.491
"hCG_1818231",-0.637,3.726,0.139,0.491
"SS18L2",-0.098,13.489,0.139,0.491
"ZNF264",0.207,10.034,0.139,0.491
"ZNF326",-0.144,10.326,0.139,0.491
"HMG20B",-0.27,9.959,0.139,0.491
"MGC3207",0.256,8.352,0.139,0.491
"C1orf93",-0.266,8.306,0.139,0.491
"SYT17",-0.546,7.617,0.139,0.491
"SLC38A1",-0.238,12.983,0.139,0.491
"DSC2",-0.768,4.855,0.139,0.491
"C2orf52",-0.241,3.187,0.139,0.491
"MRPL14",-0.133,13.111,0.139,0.491
"TBCD",-0.218,13.89,0.139,0.491
"HSPB2",-0.207,3.294,0.14,0.491
"THSD7A",0.294,3.141,0.14,0.491
"CDC26",-0.144,12.127,0.14,0.491
"ANG",0.352,11.145,0.14,0.491
"CARKD",-0.167,11.203,0.14,0.491
"NFATC2",-0.411,5.605,0.14,0.491
"SYT6",-0.397,3.467,0.14,0.491
"MYH14",0.564,11.231,0.14,0.491
"DYNLT1",0.238,13.779,0.14,0.491
"MSTO1",-0.202,6.65,0.14,0.491
"NUDT16P",0.266,6.342,0.14,0.491
"TEAD3",0.244,8.206,0.14,0.491
"LRP3",0.543,13.283,0.14,0.491
"C2orf58",0.22,3.185,0.14,0.491
"GRINL1A",0.413,3.641,0.14,0.491
"PXMP2",-0.163,8.881,0.14,0.491
"GPSN2",-0.192,11.622,0.14,0.491
"C19orf53",-0.151,10.812,0.14,0.491
"GREM2",-0.775,7.158,0.14,0.491
"LOC641298",-0.135,8.841,0.14,0.491
"LOC646973",0.932,9.195,0.14,0.491
"DRD4",0.139,18.578,0.14,0.491
"AP1B1",-0.152,9.065,0.14,0.491
"P2RX1",-0.43,9.396,0.14,0.491
"ZNF835",0.5,4.72,0.14,0.491
"KCNK9",0.398,3.918,0.14,0.491
"LOC100132363",0.539,3.674,0.14,0.491
"MYL5",-0.187,8.977,0.14,0.491
"LOC399959",-0.23,3.178,0.14,0.491
"KIAA2026",-0.147,7.832,0.14,0.491
"GTPBP5",0.248,9.007,0.14,0.492
"SLC5A12",0.522,6.408,0.14,0.492
"KIF23",0.371,7.568,0.14,0.492
"RNF19A",-0.145,9.472,0.141,0.492
"SENP5",0.164,11.014,0.141,0.492
"MGAT3",-0.626,7.366,0.141,0.493
"MNX1",0.445,3.509,0.141,0.493
"CDKN2C",-0.194,10.836,0.141,0.493
"SERPINB2",0.582,8.756,0.141,0.493
"NAMPT",-0.417,11.625,0.141,0.493
"JMJD8",-0.174,9.079,0.141,0.493
"HDAC9",0.536,6.03,0.141,0.493
"PRDM6",0.53,3.892,0.141,0.494
"SLC22A11",0.428,4.406,0.141,0.494
"DCUN1D5",0.118,11.229,0.141,0.494
"PAPOLG",0.262,9.356,0.141,0.494
"SERP2",-0.547,6.577,0.141,0.494
"BCAT1",0.445,8.884,0.142,0.494
"BZW1",0.126,12.272,0.142,0.494
"BCS1L",-0.121,10.378,0.142,0.494
"LYPLA2",-0.203,7.236,0.142,0.494
"TNFRSF12A",-0.468,6.805,0.142,0.494
"SMARCC1",-0.144,10.816,0.142,0.494
"UBAC1",0.102,12,0.142,0.494
"ELMOD2",0.222,10.826,0.142,0.494
"ZNF280D",-0.197,8.698,0.142,0.494
"SAV1",-0.247,9.667,0.142,0.494
"CECR7",-0.221,10.763,0.142,0.494
"C12orf60",0.525,5.05,0.142,0.494
"MGST2",0.216,11.568,0.142,0.494
"TBX19",0.146,8.713,0.142,0.494
"RNF13",0.15,12.635,0.142,0.494
"GALE",-0.232,8.28,0.142,0.494
"TESK1",0.146,12.807,0.142,0.494
"ABCC10",-0.144,9.265,0.142,0.494
"PAAF1",0.23,9.443,0.142,0.494
"SLC2A1",-0.216,10.508,0.142,0.494
"KIF9",0.138,8.658,0.142,0.494
"C10orf95",-0.241,7.93,0.142,0.494
"WDR72",-0.674,3.436,0.142,0.495
"LOC283587",0.198,5.884,0.142,0.495
"CCNG1",-0.145,10.274,0.142,0.495
"CHRD",0.43,5.826,0.142,0.495
"MARVELD3",0.427,5.753,0.143,0.495
"B4GALT4",0.222,8.191,0.143,0.495
"LCE3E",0.39,10.207,0.143,0.495
"LOC100131336",-0.175,8.026,0.143,0.495
"C15orf21",-0.119,16.346,0.143,0.495
"ATP5F1",-0.137,13.044,0.143,0.496
"RPS6KC1",0.153,9.048,0.143,0.496
"CUL7",-0.191,7.545,0.143,0.496
"CACNB1",0.18,8.584,0.143,0.496
"MLL2",0.545,6.995,0.143,0.496
"C22orf28",0.191,13.349,0.143,0.496
"LOC441666",0.967,5.694,0.143,0.496
"GINS3",0.284,8.59,0.143,0.496
"BTBD11",-0.298,8.759,0.143,0.496
"WDR20",0.263,7.759,0.143,0.496
"RPL19",0.112,17.973,0.143,0.496
"PCNXL2",-0.418,10.979,0.143,0.496
"C14orf1",-0.185,8.907,0.143,0.496
"TM4SF4",0.12,3.071,0.143,0.496
"MFSD6",0.331,6.802,0.143,0.496
"TMPRSS6",-0.336,4.91,0.144,0.496
"CEBPD",0.252,15.69,0.144,0.496
"INO80B",-0.269,5.478,0.144,0.496
"FAM129B",0.229,16.879,0.144,0.496
"IL10RB",0.189,11.259,0.144,0.496
"LOC100130713",0.627,7.413,0.144,0.496
"VGF",0.246,5.287,0.144,0.496
"ZNF434",0.223,8.566,0.144,0.496
"LOC100128164",0.691,6.291,0.144,0.496
"FLJ23867",0.164,7.756,0.144,0.496
"ZNF292",-0.173,10.096,0.144,0.496
"AP1M1",-0.12,11.673,0.144,0.496
"SLC9A8",-0.132,9.503,0.144,0.496
"SDHA",-0.13,12.797,0.144,0.496
"C14orf139",-0.256,11.982,0.144,0.496
"SRP14P1",0.515,11.985,0.144,0.496
"PHC1",-0.258,5.956,0.144,0.496
"C3orf42",-0.266,5.516,0.144,0.496
"VCAN",0.303,14.332,0.144,0.496
"ACAD8",-0.165,8.362,0.144,0.497
"TAAR2",0.356,5.336,0.144,0.497
"THOC1",0.215,6.844,0.144,0.497
"DHODH",-0.121,9.259,0.144,0.497
"LZTR1",-0.266,9.257,0.144,0.497
"PIGT",0.208,13.699,0.144,0.497
